Country,ISO3,Continent,Year,Cases per 100k,Deaths per 100k,Cases,Deaths,Population,Median Age,Age Group
Afghanistan,AFG,Asia,2020,134.4,5.62,52330,2189,38928341.0,17.5,Under 25
Afghanistan,AFG,Asia,2021,271.7,13.27,105754,5167,38928341.0,17.7,Under 25
Afghanistan,AFG,Asia,2022,127.1,1.27,49475,493,38928341.0,17.8,Under 25
Afghanistan,AFG,Asia,2023,4.9,0.12,1892,47,38928341.0,18.0,Under 25
Albania,ALB,Europe,2020,2026.4,41.04,58316,1181,2877800.0,36.3,35-44
Albania,ALB,Europe,2021,5278.6,70.75,151908,2036,2877800.0,36.8,35-44
Albania,ALB,Europe,2022,4294.3,13.14,123582,378,2877800.0,37.1,35-44
Albania,ALB,Europe,2023,22.6,0.1,651,3,2877800.0,37.5,35-44
Algeria,DZA,Africa,2020,227.2,6.28,99610,2756,43851043.0,28.7,25-34
Algeria,DZA,Africa,2021,271.0,8.03,118822,3520,43851043.0,28.9,25-34
Algeria,DZA,Africa,2022,120.4,1.38,52796,605,43851043.0,29.1,25-34
Algeria,DZA,Africa,2023,0.6,0.0,268,0,43851043.0,29.3,25-34
Andorra,AND,Europe,2020,10417.4,108.72,8049,84,77265.0,43.4,35-44
Andorra,AND,Europe,2021,20308.0,72.48,15691,56,77265.0,43.7,35-44
Andorra,AND,Europe,2022,31076.2,32.36,24011,25,77265.0,44.0,35-44
Andorra,AND,Europe,2023,179.9,0.0,139,0,77265.0,44.3,35-44
Angola,AGO,Africa,2020,53.4,1.23,17553,405,32866268.0,17.3,Under 25
Angola,AGO,Africa,2021,194.9,4.15,64040,1365,32866268.0,17.4,Under 25
Angola,AGO,Africa,2022,71.5,0.49,23502,160,32866268.0,17.4,Under 25
Angola,AGO,Africa,2023,0.6,0.01,193,3,32866268.0,17.5,Under 25
Antigua and Barbuda,ATG,North America,2020,162.4,5.11,159,5,97928.0,35.5,35-44
Antigua and Barbuda,ATG,North America,2021,4211.3,116.41,4124,114,97928.0,35.9,35-44
Antigua and Barbuda,ATG,North America,2022,4925.0,27.57,4823,27,97928.0,36.3,35-44
Antigua and Barbuda,ATG,North America,2023,0.0,0.0,0,0,97928.0,36.7,35-44
Argentina,ARG,South America,2020,3596.6,95.68,1625514,43245,45195777.0,32.3,25-34
Argentina,ARG,South America,2021,8914.3,163.56,4028894,73924,45195777.0,32.6,25-34
Argentina,ARG,South America,2022,9374.2,28.66,4236731,12955,45195777.0,32.9,25-34
Argentina,ARG,South America,2023,340.3,0.77,153818,348,45195777.0,33.3,25-34
Armenia,ARM,Asia,2020,5379.6,95.27,159409,2823,2963234.0,36.3,35-44
Armenia,ARM,Asia,2021,6260.8,173.76,185521,5149,2963234.0,36.8,35-44
Armenia,ARM,Asia,2022,3410.0,25.11,101046,744,2963234.0,36.9,35-44
Armenia,ARM,Asia,2023,45.0,0.37,1332,11,2963234.0,36.8,35-44
Australia,AUS,Oceania,2020,111.6,3.57,28425,909,25459700.0,38.1,35-44
Australia,AUS,Oceania,2021,1559.6,5.28,397071,1344,25459700.0,38.4,35-44
Australia,AUS,Oceania,2022,42051.6,58.13,10706211,14799,25459700.0,38.6,35-44
Australia,AUS,Oceania,2023,1051.7,9.91,267753,2522,25459700.0,38.9,35-44
Austria,AUT,Europe,2020,3953.4,83.12,356063,7486,9006400.0,43.6,35-44
Austria,AUT,Europe,2021,10156.6,103.58,914748,9329,9006400.0,43.7,35-44
Austria,AUT,Europe,2022,49234.8,51.39,4434282,4628,9006400.0,43.9,35-44
Austria,AUT,Europe,2023,2843.0,5.85,256050,527,9006400.0,44.2,35-44
Azerbaijan,AZE,Asia,2020,2157.0,26.05,218700,2641,10139175.0,32.3,25-34
Azerbaijan,AZE,Asia,2021,3927.8,56.39,398247,5717,10139175.0,32.8,25-34
Azerbaijan,AZE,Asia,2022,2065.8,16.27,209454,1650,10139175.0,33.3,25-34
Azerbaijan,AZE,Asia,2023,23.9,1.28,2424,130,10139175.0,33.9,25-34
Bahamas,BHS,North America,2020,2001.5,43.23,7871,170,393248.0,34.8,25-34
Bahamas,BHS,North America,2021,4222.5,139.1,16605,547,393248.0,35.1,35-44
Bahamas,BHS,North America,2022,3309.6,29.5,13015,116,393248.0,35.4,35-44
Bahamas,BHS,North America,2023,0.0,0.0,0,0,393248.0,35.8,35-44
Bahrain,BHR,Asia,2020,5446.4,20.69,92675,352,1701583.0,31.4,25-34
Bahrain,BHR,Asia,2021,11130.0,61.24,189387,1042,1701583.0,31.8,25-34
Bahrain,BHR,Asia,2022,24487.5,8.52,416675,145,1701583.0,33.6,25-34
Bahrain,BHR,Asia,2023,702.6,0.82,11956,14,1701583.0,34.2,25-34
Bangladesh,BGD,Asia,2020,311.8,4.59,513510,7559,164689383.0,25.6,25-34
Bangladesh,BGD,Asia,2021,650.9,12.46,1072029,20513,164689383.0,25.8,25-34
Bangladesh,BGD,Asia,2022,274.2,0.83,451586,1368,164689383.0,26.2,25-34
Bangladesh,BGD,Asia,2023,0.5,0.0,746,5,164689383.0,26.5,25-34
Barbados,BRB,North America,2020,133.3,2.44,383,7,287371.0,39.3,35-44
Barbados,BRB,North America,2021,9806.8,88.04,28182,253,287371.0,39.5,35-44
Barbados,BRB,North America,2022,26777.2,107.18,76950,308,287371.0,39.8,35-44
Barbados,BRB,North America,2023,446.5,3.83,1283,11,287371.0,40.0,35-44
Belarus,BLR,Europe,2020,2056.1,15.07,194284,1424,9449321.0,40.7,35-44
Belarus,BLR,Europe,2021,5342.5,43.96,504826,4154,9449321.0,41.0,35-44
Belarus,BLR,Europe,2022,3121.1,16.3,294927,1540,9449321.0,41.4,35-44
Belarus,BLR,Europe,2023,0.0,0.0,0,0,9449321.0,41.7,35-44
Belgium,BEL,Europe,2020,5625.3,169.92,646496,19528,11492641.0,41.9,35-44
Belgium,BEL,Europe,2021,12693.7,76.6,1458847,8803,11492641.0,42.0,35-44
Belgium,BEL,Europe,2022,22300.4,42.61,2562905,4897,11492641.0,42.3,35-44
Belgium,BEL,Europe,2023,618.8,5.1,71117,586,11492641.0,42.6,35-44
Belize,BLZ,North America,2020,2710.1,62.37,10776,248,397621.0,25.9,25-34
Belize,BLZ,North America,2021,5549.0,89.03,22064,354,397621.0,26.3,25-34
Belize,BLZ,North America,2022,9332.0,21.63,37106,86,397621.0,26.7,25-34
Belize,BLZ,North America,2023,204.0,0.0,811,0,397621.0,27.2,25-34
Benin,BEN,Africa,2020,26.8,0.36,3251,44,12123198.0,18.5,Under 25
Benin,BEN,Africa,2021,178.9,0.97,21684,117,12123198.0,18.6,Under 25
Benin,BEN,Africa,2022,25.1,0.02,3047,2,12123198.0,18.7,Under 25
Benin,BEN,Africa,2023,0.1,0.0,17,0,12123198.0,18.8,Under 25
Bhutan,BTN,Asia,2020,86.8,0.0,670,0,771612.0,28.9,25-34
Bhutan,BTN,Asia,2021,257.9,0.39,1990,3,771612.0,29.5,25-34
Bhutan,BTN,Asia,2022,7758.3,2.33,59864,18,771612.0,30.1,25-34
Bhutan,BTN,Asia,2023,13.3,0.0,103,0,771612.0,30.7,25-34
Bolivia,BOL,South America,2020,1371.7,78.51,160124,9165,11673029.0,25.1,25-34
Bolivia,BOL,South America,2021,3766.2,90.08,439629,10515,11673029.0,25.3,25-34
Bolivia,BOL,South America,2022,4808.2,22.44,561265,2619,11673029.0,25.5,25-34
Bolivia,BOL,South America,2023,284.9,0.57,33259,66,11673029.0,25.8,25-34
Bosnia and Herzegovina,BIH,Europe,2020,3382.8,123.44,110985,4050,3280815.0,45.0,45+
Bosnia and Herzegovina,BIH,Europe,2021,5496.4,286.27,180328,9392,3280815.0,45.4,45+
Bosnia and Herzegovina,BIH,Europe,2022,3343.0,84.89,109679,2785,3280815.0,45.7,45+
Bosnia and Herzegovina,BIH,Europe,2023,22.5,1.62,737,53,3280815.0,46.1,45+
Botswana,BWA,Africa,2020,629.6,1.79,14805,42,2351625.0,23.4,Under 25
Botswana,BWA,Africa,2021,8704.8,102.14,204704,2402,2351625.0,23.5,Under 25
Botswana,BWA,Africa,2022,4607.5,14.88,108351,350,2351625.0,23.7,Under 25
Botswana,BWA,Africa,2023,80.7,0.3,1898,7,2351625.0,24.0,Under 25
Brazil,BRA,South America,2020,3613.6,91.77,7681032,195072,212559409.0,33.9,25-34
Brazil,BRA,South America,2021,6873.8,199.6,14610807,424262,212559409.0,34.3,25-34
Brazil,BRA,South America,2022,6604.9,35.06,14039442,74519,212559409.0,34.7,25-34
Brazil,BRA,South America,2023,350.4,2.55,744772,5423,212559409.0,35.2,35-44
Brunei,BRN,Asia,2020,35.9,0.69,157,3,437483.0,31.5,25-34
Brunei,BRN,Asia,2021,3500.3,21.72,15313,95,437483.0,32.0,25-34
Brunei,BRN,Asia,2022,57453.4,29.03,251349,127,437483.0,32.5,25-34
Brunei,BRN,Asia,2023,2935.4,0.0,12842,0,437483.0,33.0,25-34
Bulgaria,BGR,Europe,2020,2911.0,109.03,202266,7576,6948445.0,45.0,45+
Bulgaria,BGR,Europe,2021,7841.2,336.46,544842,23379,6948445.0,45.1,45+
Bulgaria,BGR,Europe,2022,7843.4,102.94,544996,7153,6948445.0,45.2,45+
Bulgaria,BGR,Europe,2023,78.0,1.73,5419,120,6948445.0,45.4,45+
Burkina Faso,BFA,Africa,2020,32.1,0.41,6707,85,20903278.0,17.7,Under 25
Burkina Faso,BFA,Africa,2021,52.3,1.11,10925,233,20903278.0,17.9,Under 25
Burkina Faso,BFA,Africa,2022,20.9,0.37,4374,77,20903278.0,18.1,Under 25
Burkina Faso,BFA,Africa,2023,0.2,0.0,50,1,20903278.0,18.4,Under 25
Burma,MMR,Asia,2020,229.1,4.93,124630,2682,54409794.0,29.9,25-34
Burma,MMR,Asia,2021,746.6,30.48,406204,16586,54409794.0,30.1,25-34
Burma,MMR,Asia,2022,189.0,0.41,102849,222,54409794.0,30.4,25-34
Burma,MMR,Asia,2023,0.5,0.0,267,0,54409794.0,30.7,25-34
Burundi,BDI,Africa,2020,6.9,0.02,818,2,11890781.0,16.4,Under 25
Burundi,BDI,Africa,2021,223.3,0.3,26548,36,11890781.0,16.6,Under 25
Burundi,BDI,Africa,2022,204.8,0.0,24356,0,11890781.0,16.8,Under 25
Burundi,BDI,Africa,2023,16.1,0.0,1909,0,11890781.0,17.0,Under 25
Cabo Verde,CPV,Africa,2020,2129.5,20.32,11840,113,555988.0,27.5,25-34
Cabo Verde,CPV,Africa,2021,5376.4,42.99,29892,239,555988.0,28.0,25-34
Cabo Verde,CPV,Africa,2022,3861.2,10.79,21468,60,555988.0,28.6,25-34
Cabo Verde,CPV,Africa,2023,7.9,0.18,44,1,555988.0,29.1,25-34
Cambodia,KHM,Asia,2020,2.3,0.0,378,0,16718971.0,26.2,25-34
